timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,3.54,10.43,-2.58,-0.01,0.04,-1.07,0.42
20,1.10,10.80,-3.15,0.01,0.13,-1.26,0.42
40,0.24,9.29,-4.91,0.19,0.01,-1.26,0.42
60,-1.53,11.01,-4.72,0.17,-0.63,-1.13,0.42
80,-1.98,10.16,-3.23,0.11,-1.33,-0.99,0.46
100,-0.45,9.30,-2.93,0.26,-1.44,-0.89,0.46
120,2.60,8.89,-3.17,0.41,-0.84,-0.63,0.46
140,5.41,7.75,-2.72,0.56,0.23,-0.51,0.17
160,4.40,7.50,-2.51,0.75,1.24,-0.42,0.17
180,1.83,8.33,-2.36,0.79,1.76,-0.14,0.32
200,0.57,8.97,-1.92,0.71,1.72,0.24,0.32
220,0.46,9.49,-1.77,0.55,1.39,0.65,0.32
240,0.58,9.43,-1.52,0.41,1.01,1.05,0.21
260,0.77,9.77,-1.52,0.28,0.65,1.41,0.21
280,1.77,9.95,-1.50,0.18,0.38,1.75,0.21
300,2.81,10.18,-1.31,0.14,0.33,1.98,0.21
320,4.04,10.27,-1.19,0.09,0.45,2.15,0.21
340,4.84,10.80,-1.21,0.04,0.75,2.25,0.51
360,5.28,11.20,-0.96,-0.10,1.05,2.26,0.51
380,4.54,10.74,-0.89,-0.14,1.43,2.14,0.41
400,3.81,10.95,-1.15,-0.20,1.65,2.07,0.41
420,2.90,10.95,-1.16,-0.29,1.71,2.00,0.41
440,0.98,10.53,-0.81,-0.39,1.46,1.97,0.15
460,-0.97,9.76,-0.81,-0.44,0.89,1.95,0.15
480,-1.69,8.74,-0.87,-0.45,0.15,1.80,0.15
500,-1.04,8.84,-1.37,-0.35,-0.33,1.49,0.15
520,0.91,9.05,-1.91,-0.29,-0.57,1.00,0.15
540,0.71,8.54,-1.83,-0.17,-0.49,0.29,0.18
560,0.39,8.59,-2.43,-0.04,-0.28,-0.46,0.18
580,0.10,9.00,-3.75,0.09,0.10,-1.22,0.12
600,-1.01,7.95,-4.62,0.20,0.47,-1.84,0.12
620,-3.89,9.72,-6.94,0.46,0.34,-2.31,0.12
640,2.74,13.62,0.39,0.13,-1.12,-1.31,0.41
660,6.25,10.01,-0.54,0.25,-1.61,-1.77,0.41
680,4.06,8.43,-0.10,0.56,-0.87,-2.04,0.41
700,1.29,8.40,0.63,0.58,-0.14,-2.05,0.41
720,-2.25,7.71,-4.18,0.92,0.70,-1.80,0.41
740,-3.30,11.83,-5.31,1.05,0.80,-1.69,0.28
760,-7.26,10.97,-2.35,0.68,-0.24,-1.42,0.28
780,-3.66,9.79,-3.69,0.58,-1.34,-1.00,-0.08
800,0.20,10.18,-3.78,0.41,-1.58,-0.80,-0.08
820,2.21,9.78,-2.71,0.47,-0.85,-0.83,-0.08
840,0.22,9.73,-2.72,0.52,-0.19,-0.95,0.24
860,-2.77,10.51,-4.20,0.45,-0.15,-0.85,0.24
880,-2.88,9.90,-4.69,0.28,-0.53,-0.57,0.24
900,-1.70,9.71,-4.98,0.15,-0.76,-0.41,0.24
920,-0.66,9.62,-4.71,0.02,-0.86,-0.34,0.24
940,0.59,9.34,-4.62,-0.00,-0.77,-0.37,0.30
960,0.05,9.22,-3.72,-0.08,-0.62,-0.45,0.30
980,0.07,9.08,-3.08,-0.09,-0.67,-0.51,0.29
1000,0.79,9.22,-3.12,-0.03,-0.78,-0.58,0.29
1020,0.82,9.19,-3.43,-0.03,-0.85,-0.71,0.29
1040,0.85,9.16,-3.83,-0.12,-0.94,-0.80,0.51
1060,0.51,8.69,-3.12,-0.05,-0.87,-0.95,0.51
1080,0.28,9.02,-3.71,-0.18,-0.86,-1.05,0.42
1100,-0.19,9.57,-3.26,-0.12,-0.77,-1.18,0.42
1120,-0.72,10.68,-2.61,-0.22,-0.90,-1.29,0.42
1140,1.03,11.04,-3.13,-0.31,-1.00,-1.44,0.42
1160,1.55,11.22,-2.72,-0.29,-0.77,-1.76,0.42
1180,1.03,11.88,-2.09,-0.34,-0.71,-2.08,0.24
1200,1.20,12.56,-2.15,-0.30,-0.74,-2.37,0.24
1220,1.76,13.80,-2.76,-0.23,-0.77,-2.71,0.24
1240,1.18,15.46,-3.50,-0.20,-0.80,-2.93,0.15
1260,1.66,18.05,-4.22,-0.14,-0.99,-2.87,0.15
1280,5.80,17.84,-3.04,-0.07,-1.39,-2.71,0.08
1300,9.69,18.07,-2.16,0.07,-1.72,-2.58,0.08
1320,4.13,17.42,-3.08,0.16,-1.33,-3.04,0.08
1340,-4.10,18.59,-6.74,0.20,-0.57,-3.38,0.08
1360,2.05,11.31,-8.27,0.43,0.24,-2.83,0.08
1380,3.76,7.08,-7.33,0.39,1.07,-1.95,-0.06
