-0.19,8.91,-3.45,0.08,0.16,-0.05,0.68
-0.64,9.00,-3.56,0.09,0.21,-0.05,0.68
-0.88,9.02,-3.59,0.09,0.18,-0.02,0.73
-0.31,9.08,-3.47,0.09,0.16,0.02,0.73
-0.42,9.17,-3.56,0.09,0.17,-0.00,0.73
-0.40,9.22,-3.61,0.07,0.16,0.00,0.51
-0.27,9.16,-3.68,0.06,0.11,0.01,0.51
-0.00,9.20,-3.70,0.05,0.06,-0.01,0.65
0.26,9.30,-3.64,0.03,0.04,-0.03,0.65
-0.32,9.35,-4.08,0.00,-0.02,-0.04,0.65
-0.64,9.30,-3.75,-0.03,-0.04,-0.03,0.65
-0.32,9.13,-3.60,-0.03,-0.06,-0.01,0.65
-0.23,9.18,-3.68,-0.04,-0.06,-0.02,0.70
-0.51,9.17,-3.63,-0.05,-0.06,-0.02,0.70
-0.34,9.07,-3.52,-0.06,-0.09,0.01,0.70
-0.45,9.10,-3.62,-0.05,-0.14,0.01,0.52
-0.21,9.21,-3.15,-0.03,-0.16,0.03,0.52
-0.34,9.26,-3.73,-0.07,-0.16,0.04,0.48
-0.37,9.02,-3.80,-0.07,-0.15,0.04,0.48
0.05,9.04,-3.41,-0.08,-0.15,0.02,0.48
0.10,9.14,-3.43,-0.06,-0.14,-0.01,0.63
0.03,9.20,-3.46,-0.06,-0.13,-0.05,0.63
-0.16,9.20,-3.62,-0.07,-0.16,-0.07,0.63
-0.32,9.30,-3.47,-0.08,-0.19,-0.08,0.63
-0.34,9.39,-3.71,-0.08,-0.25,-0.07,0.63
-0.20,9.32,-3.62,-0.11,-0.22,-0.08,0.57
-0.05,9.27,-3.64,-0.14,-0.20,-0.10,0.57
-0.35,9.41,-3.56,-0.17,-0.22,-0.12,0.45
-0.59,9.46,-3.58,-0.20,-0.27,-0.12,0.45
0.01,9.49,-3.45,-0.22,-0.36,-0.12,0.45
0.27,9.54,-3.55,-0.29,-0.42,-0.18,0.30
1.50,9.58,-3.13,-0.32,-0.52,-0.29,0.30
3.53,10.17,-3.02,-0.25,-0.59,-0.60,0.30
4.44,10.37,-2.56,-0.24,-0.55,-1.01,0.30
2.67,10.90,-2.90,-0.07,-0.47,-1.45,0.30
0.31,12.61,-3.37,0.03,-0.68,-1.68,0.68
-1.56,13.77,-5.50,0.03,-1.22,-1.66,0.68
1.45,16.47,-4.33,-0.21,-1.55,-1.62,0.38
3.12,14.62,-4.51,-0.31,-1.35,-1.74,0.38
1.76,13.12,-4.97,-0.29,-0.59,-1.90,0.38
-1.84,12.96,-6.56,-0.12,0.14,-2.11,0.28
-8.57,11.88,-4.82,-0.12,0.05,-2.24,0.28
-5.95,13.47,-5.49,-0.14,-0.06,-1.86,0.28
-2.79,9.47,-4.02,-0.25,0.20,-1.81,0.28
-2.78,7.56,-4.07,0.01,0.72,-1.66,0.28
-2.31,7.30,-3.24,0.03,0.96,-1.41,0.37
-2.50,5.71,-2.60,0.13,1.05,-1.02,0.37
-1.70,4.99,-2.38,0.17,1.15,-0.50,0.58
-1.83,4.19,-2.18,0.21,1.10,-0.04,0.58
-1.33,4.29,-2.41,0.22,1.01,0.50,0.58
-0.31,4.20,-2.37,0.20,1.09,0.96,0.41
-0.58,4.38,-1.99,0.20,1.26,1.35,0.41
-0.72,4.79,-2.32,0.15,1.41,1.71,0.41
-1.29,4.97,-2.28,0.08,1.52,1.98,0.41
-3.09,5.47,-2.28,-0.00,1.42,2.20,0.41
-4.79,6.19,-2.16,-0.11,1.15,2.39,-0.01
-5.21,6.45,-2.12,-0.23,0.80,2.47,-0.01
-5.88,6.77,-2.16,-0.31,0.52,2.39,0.19
-5.49,7.27,-2.38,-0.40,0.27,2.15,0.19
-4.71,7.49,-2.48,-0.41,0.27,1.73,0.19
-4.76,7.88,-2.98,-0.41,0.45,1.15,0.08
-5.20,7.28,-3.25,-0.39,0.68,0.60,0.08
-6.74,10.44,-5.57,0.19,0.92,-0.30,0.40
-8.03,12.72,-9.86,0.85,1.01,-0.92,0.40
-4.42,14.35,-6.14,-0.37,-0.04,-1.11,0.40
-2.57,6.85,5.43,-0.73,-0.86,-0.82,0.40
