3.54,10.43,-2.58,-0.01,0.04,-1.07,0.42
1.10,10.80,-3.15,0.01,0.13,-1.26,0.42
0.24,9.29,-4.91,0.19,0.01,-1.26,0.42
-1.53,11.01,-4.72,0.17,-0.63,-1.13,0.42
-1.98,10.16,-3.23,0.11,-1.33,-0.99,0.46
-0.45,9.30,-2.93,0.26,-1.44,-0.89,0.46
2.60,8.89,-3.17,0.41,-0.84,-0.63,0.46
5.41,7.75,-2.72,0.56,0.23,-0.51,0.17
4.40,7.50,-2.51,0.75,1.24,-0.42,0.17
1.83,8.33,-2.36,0.79,1.76,-0.14,0.32
0.57,8.97,-1.92,0.71,1.72,0.24,0.32
0.46,9.49,-1.77,0.55,1.39,0.65,0.32
0.58,9.43,-1.52,0.41,1.01,1.05,0.21
0.77,9.77,-1.52,0.28,0.65,1.41,0.21
1.77,9.95,-1.50,0.18,0.38,1.75,0.21
2.81,10.18,-1.31,0.14,0.33,1.98,0.21
4.04,10.27,-1.19,0.09,0.45,2.15,0.21
4.84,10.80,-1.21,0.04,0.75,2.25,0.51
5.28,11.20,-0.96,-0.10,1.05,2.26,0.51
4.54,10.74,-0.89,-0.14,1.43,2.14,0.41
3.81,10.95,-1.15,-0.20,1.65,2.07,0.41
2.90,10.95,-1.16,-0.29,1.71,2.00,0.41
0.98,10.53,-0.81,-0.39,1.46,1.97,0.15
-0.97,9.76,-0.81,-0.44,0.89,1.95,0.15
-1.69,8.74,-0.87,-0.45,0.15,1.80,0.15
-1.04,8.84,-1.37,-0.35,-0.33,1.49,0.15
0.91,9.05,-1.91,-0.29,-0.57,1.00,0.15
0.71,8.54,-1.83,-0.17,-0.49,0.29,0.18
0.39,8.59,-2.43,-0.04,-0.28,-0.46,0.18
0.10,9.00,-3.75,0.09,0.10,-1.22,0.12
-1.01,7.95,-4.62,0.20,0.47,-1.84,0.12
-3.89,9.72,-6.94,0.46,0.34,-2.31,0.12
2.74,13.62,0.39,0.13,-1.12,-1.31,0.41
6.25,10.01,-0.54,0.25,-1.61,-1.77,0.41
4.06,8.43,-0.10,0.56,-0.87,-2.04,0.41
1.29,8.40,0.63,0.58,-0.14,-2.05,0.41
-2.25,7.71,-4.18,0.92,0.70,-1.80,0.41
-3.30,11.83,-5.31,1.05,0.80,-1.69,0.28
-7.26,10.97,-2.35,0.68,-0.24,-1.42,0.28
-3.66,9.79,-3.69,0.58,-1.34,-1.00,-0.08
0.20,10.18,-3.78,0.41,-1.58,-0.80,-0.08
2.21,9.78,-2.71,0.47,-0.85,-0.83,-0.08
0.22,9.73,-2.72,0.52,-0.19,-0.95,0.24
-2.77,10.51,-4.20,0.45,-0.15,-0.85,0.24
-2.88,9.90,-4.69,0.28,-0.53,-0.57,0.24
-1.70,9.71,-4.98,0.15,-0.76,-0.41,0.24
-0.66,9.62,-4.71,0.02,-0.86,-0.34,0.24
0.59,9.34,-4.62,-0.00,-0.77,-0.37,0.30
0.05,9.22,-3.72,-0.08,-0.62,-0.45,0.30
0.07,9.08,-3.08,-0.09,-0.67,-0.51,0.29
0.79,9.22,-3.12,-0.03,-0.78,-0.58,0.29
0.82,9.19,-3.43,-0.03,-0.85,-0.71,0.29
0.85,9.16,-3.83,-0.12,-0.94,-0.80,0.51
0.51,8.69,-3.12,-0.05,-0.87,-0.95,0.51
0.28,9.02,-3.71,-0.18,-0.86,-1.05,0.42
-0.19,9.57,-3.26,-0.12,-0.77,-1.18,0.42
-0.72,10.68,-2.61,-0.22,-0.90,-1.29,0.42
1.03,11.04,-3.13,-0.31,-1.00,-1.44,0.42
1.55,11.22,-2.72,-0.29,-0.77,-1.76,0.42
1.03,11.88,-2.09,-0.34,-0.71,-2.08,0.24
1.20,12.56,-2.15,-0.30,-0.74,-2.37,0.24
1.76,13.80,-2.76,-0.23,-0.77,-2.71,0.24
1.18,15.46,-3.50,-0.20,-0.80,-2.93,0.15
1.66,18.05,-4.22,-0.14,-0.99,-2.87,0.15
5.80,17.84,-3.04,-0.07,-1.39,-2.71,0.08
9.69,18.07,-2.16,0.07,-1.72,-2.58,0.08
4.13,17.42,-3.08,0.16,-1.33,-3.04,0.08
-4.10,18.59,-6.74,0.20,-0.57,-3.38,0.08
2.05,11.31,-8.27,0.43,0.24,-2.83,0.08
3.76,7.08,-7.33,0.39,1.07,-1.95,-0.06
-7.35,1.79,-3.80,0.40,0.84,-1.55,-0.06
0.32,8.56,-10.37,0.19,2.29,-0.28,-0.06
2.52,4.38,-2.83,-0.61,2.03,1.52,-0.01
-3.31,3.20,-2.01,-0.44,2.12,1.99,-0.01
-3.57,4.30,-4.00,-0.59,1.54,3.00,-0.19
-3.85,4.76,-3.13,-0.89,1.41,3.81,-0.19
-4.71,4.67,-2.56,-1.12,1.22,4.37,-0.19
-4.23,4.77,-2.39,-1.22,0.68,4.37,-0.19
-4.51,5.05,-2.24,-1.07,0.19,4.37,-0.19
-4.75,6.62,-1.98,-0.80,-0.03,4.37,-0.63
-5.72,10.13,-2.74,-0.61,-0.52,4.37,-0.63
-5.69,11.67,-2.28,-0.25,-0.76,4.37,-0.63
-2.33,13.47,-1.54,0.25,-0.43,4.37,-0.57
1.06,15.25,-3.09,0.42,0.44,4.37,-0.57
-0.20,17.39,-2.63,0.28,1.64,4.37,-0.21
-4.12,15.25,-1.80,0.27,2.50,3.04,-0.21
-12.61,11.93,-4.02,0.27,2.74,0.98,-0.21
-16.59,8.58,-5.69,0.38,1.99,-1.05,-0.21
-17.43,8.57,-6.49,0.61,0.69,-2.19,-0.21
-9.92,12.21,-5.65,0.63,-0.29,-2.61,0.12
14.39,19.61,7.83,-0.53,-0.22,-1.48,0.12
17.64,12.42,5.42,0.32,0.17,-2.74,0.12
-3.19,9.14,-3.68,1.18,2.32,-4.14,0.24
-8.39,7.88,-5.17,1.74,2.45,-3.67,0.24
-13.00,5.71,-9.24,1.71,1.77,-2.78,0.33
-17.57,12.90,-9.27,0.91,-0.91,-1.61,0.33
-7.99,12.61,-2.86,-0.05,-3.48,-1.10,0.33
1.47,8.89,-0.16,0.10,-2.88,-0.78,0.29
5.59,11.72,-2.36,0.54,-1.05,-1.10,0.29
0.03,9.86,-3.89,0.28,-0.17,-1.47,0.29
-2.44,8.99,-5.29,0.25,0.03,-1.21,0.29
-3.13,9.88,-5.24,0.10,-0.13,-0.89,0.29
-3.06,8.83,-5.56,-0.11,-0.65,-0.68,0.34
-2.97,8.77,-4.98,-0.16,-1.32,-0.55,0.34
