-0.21,9.66,-3.78,-0.12,-0.47,-1.06,-0.98
0.69,9.79,-3.86,-0.13,-0.56,-1.21,-0.98
0.09,10.14,-4.05,-0.20,-0.57,-1.40,-0.98
-0.42,10.64,-3.98,-0.28,-0.63,-1.51,-0.98
-0.77,11.10,-3.13,-0.33,-0.69,-1.62,-0.98
-0.63,11.73,-3.42,-0.38,-0.62,-1.75,-0.95
-0.85,12.43,-3.61,-0.41,-0.59,-1.87,-0.95
-0.77,12.83,-3.25,-0.41,-0.72,-2.02,-1.18
-1.11,13.88,-3.51,-0.41,-0.93,-2.11,-1.18
2.20,15.26,-4.02,-0.43,-1.30,-2.20,-1.18
5.27,13.22,-4.66,-0.10,-1.47,-2.65,-1.18
0.79,15.06,-5.08,-0.12,-1.64,-2.67,-1.18
0.48,10.67,-5.16,-0.24,-1.40,-2.78,-1.10
-1.67,10.30,-3.08,-0.10,-0.29,-3.10,-1.10
-8.23,7.85,-5.68,0.42,0.46,-2.78,-1.10
-3.80,7.16,-4.04,0.11,0.06,-1.34,-1.29
0.14,5.83,-1.65,-0.16,-0.32,-0.52,-1.29
-0.21,2.48,-1.40,0.05,0.13,0.04,-1.14
0.71,3.72,-2.90,0.19,0.78,0.85,-1.14
0.83,2.85,-1.98,0.24,1.17,1.41,-1.14
-1.26,3.21,-1.75,0.33,1.16,1.91,-1.14
-2.00,3.63,-2.27,0.38,1.05,2.68,-1.14
-1.42,4.94,-1.83,0.24,0.72,3.51,-1.18
-2.08,6.23,-1.43,0.14,0.30,4.13,-1.18
-1.76,7.51,-1.13,0.13,-0.05,4.37,-1.18
-0.36,9.32,-1.36,0.08,-0.11,4.37,-1.60
-0.66,11.40,-1.10,-0.04,0.11,4.37,-1.60
-0.61,14.09,-1.39,-0.22,0.32,4.37,-1.39
0.08,15.51,-1.65,-0.35,0.56,4.37,-1.39
0.96,16.18,-1.75,-0.38,0.93,4.37,-1.39
0.91,17.26,-2.46,-0.31,1.37,4.37,-1.39
-0.29,16.68,-2.39,-0.23,1.62,4.37,-1.39
-4.19,15.41,-1.20,-0.28,1.64,3.67,-1.32
-3.30,11.80,-1.08,-0.37,1.82,2.79,-1.32
-5.74,8.12,-2.94,-0.22,1.91,1.10,-1.32
-10.64,6.02,-3.30,0.18,1.37,-0.61,-1.10
-8.32,7.97,-4.75,0.49,0.62,-1.92,-1.10
-5.89,9.78,-5.83,0.61,0.35,-2.81,-0.77
5.33,12.61,-5.49,0.50,-0.03,-1.80,-0.77
17.59,9.98,3.36,-0.10,-1.15,-0.91,-0.77
-1.11,15.56,3.85,0.28,0.11,-2.47,-0.77
-7.95,10.95,-1.20,0.85,-0.64,-2.23,-0.77
-1.87,10.36,-8.28,1.10,-0.64,-2.02,-0.77
3.91,9.33,-3.93,0.78,-0.23,-1.95,-0.77
-0.64,7.47,-4.52,0.76,0.55,-1.91,-0.77
-1.03,9.79,-3.34,0.61,0.23,-1.56,-0.87
-0.40,9.98,-3.74,0.55,-0.20,-1.50,-0.87
-0.18,9.24,-4.02,0.39,-0.22,-1.26,-1.09
-0.54,9.42,-2.70,0.36,-0.36,-1.12,-1.09
-0.22,9.90,-3.58,0.31,-0.31,-0.98,-1.09
0.17,9.59,-3.35,0.31,-0.08,-0.88,-1.09
0.00,9.41,-4.09,0.23,0.06,-0.80,-1.09
-1.40,9.44,-3.94,0.11,-0.14,-0.64,-0.96
-1.54,9.50,-3.45,0.06,-0.45,-0.46,-0.96
-1.24,9.56,-3.47,0.00,-0.80,-0.31,-0.96
0.40,9.37,-3.96,-0.03,-0.90,-0.26,-0.68
1.15,9.18,-3.88,-0.06,-0.89,-0.30,-0.68
1.04,9.15,-3.40,-0.08,-0.88,-0.41,-1.03
0.16,9.51,-2.74,-0.11,-0.79,-0.52,-1.03
0.17,9.64,-2.86,-0.08,-0.68,-0.57,-1.03
-0.06,9.90,-3.01,-0.07,-0.54,-0.63,-1.13
-0.35,9.98,-3.19,-0.11,-0.54,-0.68,-1.13
-0.36,10.25,-3.13,-0.17,-0.62,-0.76,-1.13
0.37,10.64,-2.88,-0.20,-0.66,-0.86,-1.13
0.04,10.58,-2.49,-0.22,-0.73,-1.03,-1.13
1.57,11.09,-2.53,-0.23,-0.74,-1.27,-0.97
1.80,11.52,-2.31,-0.24,-0.55,-1.60,-0.97
1.66,11.79,-2.16,-0.25,-0.44,-1.97,-0.77
