timestamp,aX,aY,aZ,gX,gY,gZ,xP
1820,-0.45,8.86,-3.85,0.02,-0.31,-0.07,-1.81
1840,-0.35,8.64,-3.94,0.01,-0.27,-0.10,-1.81
1860,-0.63,8.84,-3.70,-0.00,-0.26,-0.12,-1.81
1880,-0.60,8.81,-3.32,0.03,-0.24,-0.14,-1.67
1900,-0.85,8.90,-3.13,0.07,-0.26,-0.17,-1.67
1920,-0.91,8.88,-3.44,0.18,-0.26,-0.18,-1.68
1940,-0.27,9.15,-4.51,0.15,-0.22,-0.21,-1.68
1960,-0.79,8.92,-4.41,0.10,-0.21,-0.23,-1.68
1980,-0.54,8.67,-4.23,0.04,-0.19,-0.25,-1.68
2000,-1.16,9.18,-3.62,0.02,-0.14,-0.23,-1.68
2020,-1.53,9.23,-3.35,0.04,-0.16,-0.20,-1.80
2040,-0.98,9.30,-3.50,0.08,-0.19,-0.19,-1.80
2060,-1.07,8.99,-3.84,0.07,-0.15,-0.19,-1.80
2080,-1.04,8.55,-4.46,0.02,0.03,-0.17,-1.87
2100,-1.13,8.73,-4.28,-0.04,0.17,-0.15,-1.87
2120,-1.84,8.18,-4.23,-0.06,0.21,-0.13,-1.86
2140,-1.80,9.13,-3.82,-0.10,0.06,-0.05,-1.86
2160,-0.70,9.52,-3.80,-0.09,-0.04,-0.05,-1.86
2180,-0.80,9.62,-3.65,-0.11,-0.12,-0.08,-1.86
2200,-0.52,9.53,-3.59,-0.10,-0.20,-0.13,-1.86
2220,-0.68,9.52,-3.63,-0.11,-0.26,-0.20,-1.86
2240,-0.93,9.43,-4.07,-0.14,-0.29,-0.23,-1.86
2260,-0.73,9.45,-4.00,-0.20,-0.32,-0.26,-1.86
2280,-1.09,9.55,-3.76,-0.25,-0.32,-0.28,-1.87
2300,-0.83,9.65,-3.92,-0.31,-0.28,-0.30,-1.87
2320,-1.93,9.57,-3.68,-0.36,-0.29,-0.28,-1.79
2340,-1.36,9.67,-3.78,-0.42,-0.34,-0.23,-1.79
2360,-1.33,9.82,-3.83,-0.46,-0.34,-0.22,-1.79
2380,-1.47,9.90,-3.44,-0.49,-0.33,-0.18,-1.97
2400,-1.51,10.00,-3.34,-0.54,-0.32,-0.15,-1.97
2420,-1.61,9.80,-3.26,-0.56,-0.29,-0.13,-1.97
2440,-1.51,9.91,-3.32,-0.57,-0.33,-0.09,-1.97
2460,-1.08,10.25,-3.00,-0.60,-0.40,-0.06,-1.97
2480,-0.95,10.62,-3.12,-0.62,-0.42,-0.03,-1.80
2500,-0.68,11.10,-2.95,-0.65,-0.49,0.01,-1.80
2520,0.04,11.44,-2.74,-0.67,-0.46,0.05,-1.66
2540,0.48,11.46,-2.51,-0.69,-0.52,0.08,-1.66
2560,1.26,11.01,-2.43,-0.67,-0.50,0.12,-1.66
2580,1.41,10.35,-2.58,-0.63,-0.40,0.09,-1.73
2600,0.76,9.71,-2.82,-0.51,-0.30,-0.01,-1.73
2620,-1.04,9.43,-3.70,-0.27,-0.16,-0.38,-1.73
2640,-1.44,9.35,-4.45,0.04,-0.20,-0.74,-1.73
2660,-0.16,9.60,-4.69,0.19,-0.03,-1.08,-1.73
2680,-1.82,10.10,-4.43,0.33,-0.01,-1.31,-1.72
2700,-5.88,11.34,-3.50,0.34,-0.33,-1.66,-1.72
2720,-7.00,11.26,-4.11,0.36,-0.75,-2.05,-1.53
2740,-3.94,11.92,-2.48,0.31,-0.67,-2.27,-1.53
2760,-6.38,11.83,-5.03,0.57,-0.24,-2.85,-1.53
2780,-3.70,11.36,-2.93,0.57,0.02,-2.79,-1.84
2800,-4.34,10.87,-2.48,0.63,0.18,-3.00,-1.84
2820,-6.27,10.55,-2.54,0.70,0.22,-3.03,-1.84
2840,-6.45,10.47,-1.91,0.67,0.18,-2.85,-1.84
2860,-6.18,9.89,-1.44,0.63,0.10,-2.59,-1.84
2880,-6.04,8.72,-1.26,0.67,0.11,-2.38,-1.92
2900,-6.23,7.88,-1.27,0.68,0.18,-2.10,-1.92
2920,-5.73,6.97,-1.15,0.65,0.33,-1.76,-1.79
2940,-4.81,6.33,-0.84,0.60,0.49,-1.50,-1.79
2960,-4.09,6.31,-0.32,0.53,0.72,-1.16,-1.79
2980,-3.02,6.09,-0.22,0.43,0.88,-0.83,-1.90
3000,-3.18,5.65,-0.60,0.30,1.01,-0.43,-1.90
3020,-3.02,5.25,-0.71,0.11,0.81,0.08,-1.90
3040,-2.19,5.09,-1.15,-0.09,0.61,0.57,-1.90
3060,-2.27,4.25,-1.46,-0.25,0.59,1.06,-1.90
3080,-1.67,3.96,-2.15,-0.34,0.83,1.52,-1.97
3100,-1.86,3.70,-2.41,-0.37,1.13,1.88,-1.97
3120,-2.48,3.69,-3.17,-0.39,1.28,2.23,-2.06
3140,-3.45,4.15,-3.38,-0.45,1.28,2.47,-2.06
3160,-4.02,4.44,-3.34,-0.49,1.12,2.70,-2.06
3180,-5.21,4.75,-3.56,-0.50,0.92,2.87,-1.97
3200,-4.93,5.31,-3.41,-0.53,0.73,2.98,-1.97
3220,-5.13,5.88,-3.35,-0.58,0.60,2.98,-1.97
3240,-5.27,6.28,-3.25,-0.59,0.57,2.84,-1.97
3260,-5.69,6.67,-3.53,-0.57,0.63,2.60,-1.97
3280,-6.31,6.99,-3.59,-0.54,0.64,2.30,-2.12
3300,-6.97,7.29,-3.97,-0.50,0.60,1.95,-2.12
3320,-6.41,7.78,-3.75,-0.50,0.48,1.57,-1.90
3340,-6.19,7.94,-3.45,-0.52,0.32,1.28,-1.90
3360,-5.65,8.06,-3.34,-0.54,0.07,1.01,-1.90
3380,-4.92,7.97,-3.34,-0.56,-0.04,0.76,-1.83
3400,-4.28,7.63,-3.37,-0.48,0.00,0.49,-1.83
3420,-3.18,7.64,-3.46,-0.40,0.11,0.31,-2.12
3440,-1.48,7.80,-4.34,-0.34,0.20,0.23,-2.12
3460,-5.06,18.25,-11.63,0.64,0.86,-0.51,-2.12
3480,-2.12,11.26,-3.46,-0.01,-0.59,-0.73,-2.12
3500,0.78,6.42,-0.98,-0.10,-0.96,-0.33,-2.12
3520,-0.05,8.93,-4.17,0.34,-0.16,-0.66,-2.01
3540,-1.29,7.37,-3.14,0.25,0.06,-0.62,-2.01
3560,-1.78,8.25,-3.26,0.29,0.00,-0.59,-2.01
3580,-2.22,9.23,-3.37,0.33,-0.02,-0.58,-2.11
3600,-1.45,9.73,-3.18,0.30,-0.13,-0.54,-2.11
3620,-1.28,9.63,-3.45,0.35,-0.22,-0.57,-2.21
3640,-0.85,8.69,-3.30,0.40,-0.23,-0.62,-2.21
3660,-1.57,8.29,-3.63,0.42,-0.20,-0.69,-2.21
3680,-2.14,8.52,-3.55,0.38,-0.24,-0.68,-2.21
3700,-2.66,8.73,-3.76,0.36,-0.21,-0.62,-2.21
3720,-2.96,8.82,-3.76,0.33,-0.17,-0.51,-1.95
3740,-2.42,9.06,-3.91,0.36,-0.17,-0.43,-1.95
3760,-2.32,8.56,-3.92,0.38,-0.19,-0.39,-1.95
3780,-2.52,8.41,-4.12,0.36,-0.15,-0.35,-2.04
3800,-3.29,8.26,-4.24,0.32,-0.19,-0.27,-2.04
3820,-3.21,8.46,-4.18,0.30,-0.16,-0.12,-1.86
3840,-3.21,9.03,-5.03,0.24,-0.11,-0.02,-1.86
3860,-3.30,8.52,-5.03,0.14,-0.07,0.11,-1.86
3880,-2.63,8.53,-4.71,0.06,-0.04,0.19,-1.86
3900,-2.52,8.71,-4.99,-0.00,0.02,0.23,-1.86
