timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,0.43,9.77,-1.71,0.01,-0.08,-0.26,-1.41
20,1.19,9.76,-1.71,0.02,-0.04,-0.37,-1.41
40,1.40,10.05,-1.71,0.01,-0.04,-0.54,-1.41
60,1.32,10.28,-1.73,0.02,-0.02,-0.68,-1.41
80,1.27,10.70,-2.10,0.05,0.11,-0.81,-1.41
100,0.86,11.20,-2.36,0.09,0.18,-1.03,-1.43
120,0.00,11.60,-2.35,0.20,0.12,-1.32,-1.43
140,-1.22,12.35,-2.78,0.36,-0.06,-1.73,-1.56
160,-2.15,13.34,-3.93,0.56,-0.19,-2.08,-1.56
180,-2.59,14.25,-3.60,0.61,-0.39,-2.37,-1.56
200,-3.12,14.38,-3.60,0.68,-0.63,-2.52,-1.59
220,-1.69,14.03,-4.26,0.70,-0.74,-2.38,-1.59
240,-2.20,13.44,-3.56,0.73,-0.92,-2.38,-1.59
260,-2.77,12.98,-3.96,0.81,-0.91,-2.27,-1.59
280,-2.62,12.62,-4.22,0.85,-0.88,-2.06,-1.59
300,-2.32,12.11,-4.05,0.90,-0.76,-1.84,-1.61
320,-2.03,10.70,-4.05,0.98,-0.52,-1.56,-1.61
340,-1.47,9.07,-3.88,1.04,-0.18,-1.31,-1.72
360,-1.14,7.63,-4.14,1.12,0.17,-1.02,-1.72
380,0.40,6.25,-3.78,1.06,0.64,-0.61,-1.72
400,1.53,4.84,-3.59,1.04,1.04,-0.22,-1.78
420,1.10,3.65,-3.37,0.97,1.35,0.36,-1.78
440,1.43,2.86,-2.87,0.90,1.63,0.90,-1.78
460,1.29,2.92,-2.70,0.77,1.70,1.43,-1.78
480,0.57,3.15,-2.27,0.61,1.64,1.89,-1.78
500,-0.42,3.63,-2.09,0.43,1.52,2.26,-1.67
520,-1.84,4.14,-1.90,0.24,1.40,2.55,-1.67
540,-3.35,5.03,-2.01,0.04,1.13,2.72,-1.77
560,-5.09,6.12,-2.08,-0.12,0.81,2.70,-1.77
580,-6.15,7.15,-2.21,-0.32,0.46,2.49,-1.77
600,-6.75,7.93,-2.44,-0.51,0.26,2.06,-1.70
620,-7.39,8.49,-2.94,-0.66,0.26,1.44,-1.70
640,-7.04,8.62,-3.52,-0.77,0.37,0.67,-1.70
660,-6.95,8.23,-3.84,-0.82,0.57,0.02,-1.70
680,-6.77,7.75,-4.04,-0.78,0.68,-0.57,-1.70
700,-6.24,7.02,-3.96,-0.74,0.59,-1.01,-1.72
720,-4.78,6.30,-3.57,-0.77,0.40,-1.19,-1.72
740,-3.57,3.57,-18.10,0.78,1.51,-1.37,-1.61
760,4.83,19.61,-8.10,-0.43,-0.67,-1.56,-1.61
780,-6.95,4.78,4.07,-0.04,-1.69,-1.26,-1.61
800,-3.71,8.34,-5.23,0.10,-0.51,-1.00,-1.82
820,-3.70,5.91,-3.15,0.41,-0.53,-0.84,-1.82
840,-6.76,8.34,-4.30,0.22,-0.17,-0.44,-1.61
860,-3.55,8.29,-5.29,0.17,0.07,-0.12,-1.61
880,-3.26,9.30,-4.91,0.07,0.13,-0.06,-1.61
900,-3.82,9.28,-4.36,-0.01,0.04,0.11,-1.61
920,-3.39,8.72,-4.26,0.01,-0.09,0.30,-1.61
940,-4.16,8.72,-4.85,0.01,-0.19,0.55,-1.59
960,-3.53,8.64,-4.82,-0.07,-0.20,0.79,-1.59
980,-2.68,8.86,-5.16,-0.13,-0.15,0.86,-1.59
1000,-2.40,9.07,-4.54,-0.17,-0.14,0.88,-1.83
1020,-1.77,9.02,-4.73,-0.18,-0.24,0.84,-1.83
1040,-2.14,8.96,-5.02,-0.23,-0.43,0.86,-1.58
1060,-1.61,8.94,-4.47,-0.30,-0.60,0.92,-1.58
1080,-0.96,9.18,-5.13,-0.36,-0.57,0.94,-1.58
1100,-0.82,8.78,-4.56,-0.39,-0.47,0.95,-1.58
1120,-0.02,8.75,-3.74,-0.37,-0.58,0.89,-1.58
1140,1.16,8.43,-3.34,-0.27,-0.57,0.76,-1.39
1160,0.90,8.66,-3.79,-0.24,-0.55,0.59,-1.39
1180,0.44,8.32,-3.58,-0.18,-0.66,0.43,-1.39
1200,1.35,8.71,-3.69,-0.14,-0.72,0.30,-1.51
1220,1.11,8.72,-3.92,-0.13,-0.67,0.09,-1.51
1240,0.94,8.77,-3.96,-0.14,-0.67,-0.12,-1.87
1260,1.49,9.09,-3.44,-0.15,-0.70,-0.30,-1.87
1280,0.37,9.45,-3.41,-0.16,-0.67,-0.50,-1.87
1300,-0.55,9.82,-3.53,-0.20,-0.58,-0.57,-1.87
1320,-1.63,10.97,-3.42,-0.30,-0.47,-0.55,-1.87
1340,-1.84,12.60,-3.71,-0.53,-0.49,-0.41,-1.55
1360,-0.14,13.58,-4.33,-0.67,-0.54,-0.32,-1.55
1380,-0.10,14.89,-3.80,-0.76,-0.65,-0.26,-1.55
1400,0.78,16.40,-2.75,-0.81,-0.73,-0.05,-1.80
1420,4.42,17.20,-1.52,-0.84,-0.79,0.18,-1.80
1440,10.10,15.19,-1.35,-0.88,-0.79,0.19,-1.67
1460,12.97,12.71,-3.13,-0.76,-0.35,0.27,-1.67
1480,6.92,9.19,-7.88,-0.20,1.35,-1.03,-1.67
1500,-3.59,12.96,-13.40,0.58,2.15,-3.46,-1.67
1520,-9.08,15.89,-7.92,0.80,2.18,-4.37,-1.67
1540,-18.00,19.61,-5.83,1.23,0.96,-4.37,-1.90
1560,-17.95,19.61,-11.20,1.57,-0.31,-4.37,-1.90
1580,-7.95,16.49,-8.84,1.41,-0.33,-4.37,-1.90
1600,-8.13,15.41,-7.35,1.57,0.15,-4.37,-1.76
1620,-5.20,13.04,-5.54,1.54,-0.03,-4.37,-1.76
1640,2.94,8.61,-2.60,1.12,-0.72,-3.36,-1.71
1660,13.07,4.05,0.62,0.80,-0.28,-2.47,-1.71
1680,12.84,1.75,1.43,0.59,0.86,-1.60,-1.71
1700,9.79,0.65,1.95,0.15,1.46,-0.26,-1.71
1720,10.02,-0.74,1.91,-0.44,2.18,1.22,-1.71
1740,9.42,-1.25,1.47,-1.01,2.60,2.58,-1.99
1760,7.39,-1.68,0.33,-1.38,2.69,3.46,-1.99
1780,3.25,-1.16,-0.42,-1.68,2.75,4.21,-1.99
1800,-1.90,-0.33,-1.44,-1.86,2.55,4.37,-2.33
