0.90,8.92,-3.88,-0.08,-0.29,-0.29,-4.25
1.11,8.92,-3.99,-0.08,-0.22,-0.37,-4.38
0.90,8.89,-4.05,-0.09,-0.19,-0.46,-4.38
0.37,8.93,-3.99,-0.12,-0.28,-0.53,-4.38
0.70,8.73,-3.69,-0.12,-0.37,-0.59,-4.38
1.12,8.61,-3.47,-0.09,-0.38,-0.68,-4.38
1.03,8.60,-3.66,-0.02,-0.27,-0.81,-4.30
0.57,8.67,-3.30,0.05,-0.19,-0.90,-4.30
-0.36,8.74,-3.75,0.10,-0.11,-1.01,-4.30
-0.32,8.99,-2.89,0.13,-0.25,-1.10,-4.47
-0.07,8.66,-2.61,0.26,-0.39,-1.23,-4.47
1.22,8.43,-2.26,0.41,-0.48,-1.44,-4.46
-0.40,7.69,-3.87,0.60,-0.33,-1.62,-4.46
-2.36,8.63,-3.61,0.57,-0.33,-1.68,-4.46
-2.31,8.41,-4.33,0.59,-0.49,-1.74,-4.46
-3.30,8.60,-3.99,0.56,-0.77,-1.75,-4.46
-2.60,7.70,-4.15,0.54,-0.84,-1.78,-4.36
-4.55,8.61,-4.87,0.43,-0.85,-1.73,-4.36
-1.36,8.45,-4.47,0.34,-0.88,-1.79,-4.36
-4.94,8.38,-4.67,0.27,-0.78,-1.93,-4.48
-3.78,8.47,-4.11,0.18,-0.89,-1.96,-4.48
-4.00,9.71,-4.32,0.07,-0.99,-2.01,-4.25
-3.74,7.99,-4.01,0.03,-0.93,-2.22,-4.25
-6.32,7.25,-4.41,-0.08,-0.86,-2.21,-4.25
-5.30,6.85,-4.30,-0.14,-0.82,-2.27,-4.25
-6.66,9.20,-4.61,-0.21,-0.94,-2.27,-4.25
-5.98,12.33,-4.94,-0.31,-0.96,-2.44,-4.17
-5.74,19.30,-5.87,-0.39,-0.95,-2.68,-4.17
-2.03,19.61,-7.52,-0.42,-0.65,-2.91,-4.17
0.10,19.61,-9.28,-0.61,-0.19,-2.71,-3.94
-3.87,3.09,-4.19,-0.89,0.68,-2.72,-3.94
-15.15,-0.40,-9.96,-0.58,1.36,-3.02,-4.55
7.67,0.73,0.01,-1.43,0.96,-0.88,-4.55
7.75,-2.39,-4.78,-1.13,1.75,0.13,-4.55
0.98,-0.16,-5.68,-1.25,2.12,1.48,-4.09
-0.31,-0.12,-3.47,-1.39,1.28,2.62,-4.09
-0.22,-0.73,-2.88,-1.30,0.58,3.48,-4.09
-0.84,-0.12,-2.49,-1.06,0.48,4.01,-4.09
-2.36,0.77,-2.26,-0.85,0.58,4.37,-4.09
-3.78,2.09,-2.38,-0.69,0.79,4.37,-4.48
-3.79,3.83,-2.45,-0.38,0.83,4.37,-4.48
-4.56,6.39,-2.57,-0.06,0.41,4.37,-4.56
-6.89,7.83,-1.23,0.16,0.26,4.37,-4.56
-10.05,9.45,-1.87,0.28,0.37,4.37,-4.56
-10.21,12.10,-2.43,0.09,0.21,4.37,-4.42
-8.87,14.21,-3.02,-0.28,-0.25,4.37,-4.42
-6.90,14.52,-1.41,-0.48,-0.65,4.36,-4.42
-5.67,15.01,-0.14,-0.50,-1.02,3.65,-4.42
-6.41,13.91,-1.38,-0.45,-1.26,2.67,-4.42
-6.44,12.29,-1.42,-0.51,-1.68,1.89,-3.96
-4.25,10.98,-1.69,-0.45,-1.95,1.34,-3.96
-0.61,9.55,-1.41,-0.28,-1.72,0.72,-3.89
0.48,10.53,-2.47,-0.27,-1.39,0.02,-3.89
0.75,9.95,-2.66,-0.45,-0.90,-0.97,-3.89
3.63,3.86,-12.13,-0.37,0.90,-1.57,-4.01
-0.06,4.08,-9.03,0.67,1.28,-3.14,-4.01
15.66,19.61,-0.84,0.28,0.51,-3.00,-4.01
-0.78,10.03,-1.60,0.97,0.54,-3.28,-4.01
-3.43,9.77,-1.06,0.74,0.52,-2.07,-4.01
-4.52,6.17,-7.00,0.84,1.63,-1.70,-3.73
8.03,19.61,-9.02,0.10,1.21,-1.14,-3.73
1.47,15.44,-2.32,0.95,0.40,-2.00,-3.96
-10.48,4.74,-0.86,0.55,0.20,-1.54,-3.96
-3.09,8.63,-8.24,0.40,-0.10,-1.08,-3.96
-3.49,7.96,-4.70,0.17,-0.21,-0.81,-3.74
-0.06,10.12,-3.73,0.26,-0.46,-0.63,-3.74
-1.02,8.32,-4.22,0.33,-0.76,-0.74,-3.74
-2.43,6.48,-4.64,0.31,-0.78,-0.77,-3.74
-0.31,7.62,-3.89,0.34,-0.69,-0.83,-3.74
-1.29,8.61,-3.87,0.41,-0.47,-1.03,-3.84
-1.00,8.71,-3.96,0.55,-0.68,-1.21,-3.84
-1.07,8.30,-3.86,0.60,-0.93,-1.40,-3.89
-2.86,6.24,-4.80,0.65,-0.77,-1.53,-3.89
-2.89,7.81,-4.90,0.48,-0.81,-1.50,-3.89
-1.22,8.66,-6.05,0.41,-0.90,-1.78,-4.09
-2.96,9.76,-4.70,0.28,-1.09,-1.94,-4.09
-3.54,6.95,-4.57,0.26,-0.90,-2.12,-4.09
-5.48,6.44,-4.50,0.20,-0.74,-2.10,-4.09
-4.11,7.54,-5.75,0.16,-0.68,-2.08,-4.09
-5.48,9.10,-6.65,0.17,-0.84,-2.13,-3.88
-4.92,12.73,-6.65,0.10,-1.17,-2.20,-3.88
-3.51,10.89,-5.67,0.01,-1.19,-2.50,-3.88
-6.11,12.33,-5.98,-0.06,-1.04,-2.53,-3.88
-3.26,18.40,-7.66,-0.20,-0.72,-2.57,-3.88
-1.82,19.48,-8.77,-0.30,-0.34,-2.53,-3.86
-1.90,13.10,-9.27,-0.37,-0.32,-2.02,-3.86
1.19,5.19,-6.28,-0.72,0.56,-0.80,-3.91
4.13,-1.75,1.99,-1.38,0.35,0.36,-3.91
3.55,-6.22,1.65,-1.70,0.36,1.27,-3.91
5.16,-3.54,-6.56,-1.68,3.03,2.51,-3.91
2.11,3.58,-1.91,-2.25,2.51,3.34,-3.91
-3.94,5.69,-3.00,-1.96,0.97,3.75,-3.66
-5.85,4.18,-4.43,-1.69,0.39,4.37,-3.66
-5.48,3.62,-2.62,-1.30,0.32,4.37,-3.66
-4.41,5.18,-3.68,-0.77,0.17,4.37,-3.79
-6.47,5.77,-4.35,-0.36,0.40,4.37,-3.79
-9.08,7.47,-4.29,-0.19,0.67,4.37,-3.89
-8.01,9.84,-4.64,0.04,0.69,4.37,-3.89
-7.39,13.87,-4.51,0.10,0.53,4.32,-3.89
-7.27,15.33,-3.02,-0.03,0.30,3.95,-3.89
-6.98,14.20,-1.58,-0.32,-0.10,3.43,-3.89
-6.66,12.65,-1.34,-0.53,-0.45,2.58,-3.72
-4.88,11.57,-2.05,-0.43,-0.81,1.86,-3.72
-3.17,10.84,-2.95,-0.37,-1.20,1.25,-3.72
-2.23,9.42,-2.07,-0.27,-1.42,0.69,-3.67
-1.44,9.75,-2.36,-0.25,-1.56,0.26,-3.67
1.40,10.00,-2.39,-0.33,-1.49,-0.28,-3.84
2.88,9.08,-2.07,-0.40,-1.11,-1.00,-3.84
-0.23,8.21,-1.48,-0.27,-0.73,-1.85,-3.84
-1.81,8.59,-8.45,-0.39,0.23,-2.36,-3.84
3.92,5.23,-7.52,1.22,-0.97,-2.13,-3.84
7.98,17.51,-0.40,0.73,0.20,-2.81,-3.57
8.61,8.08,-4.30,0.99,0.72,-2.30,-3.57
1.79,9.30,-11.19,0.66,1.30,-2.28,-3.57
-2.25,18.44,-6.20,-0.13,1.31,-1.86,-3.58
11.64,19.61,6.94,0.67,0.36,-1.60,-3.58
-6.90,1.16,-8.47,0.92,1.15,-2.44,-3.65
-9.49,7.73,-8.67,0.34,0.62,-1.44,-3.65
-2.35,10.01,-4.63,-0.08,0.01,-1.00,-3.65
-2.64,9.81,-3.74,-0.08,-0.35,-0.87,-3.65
-1.28,8.87,-3.06,-0.03,-0.55,-0.83,-3.65
-1.33,9.02,-4.40,0.03,-0.28,-0.93,-3.55
-0.36,8.68,-3.06,0.04,-0.26,-1.03,-3.55
-0.74,8.50,-2.57,0.16,-0.25,-1.20,-3.55
-2.67,8.55,-3.45,0.28,-0.46,-1.32,-3.31
-2.01,8.04,-2.81,0.29,-0.82,-1.35,-3.31
-2.04,8.15,-3.55,0.47,-0.80,-1.56,-3.43
-3.06,8.26,-3.34,0.38,-1.09,-1.67,-3.43
-1.17,8.66,-3.85,0.40,-1.19,-1.94,-3.43
-3.68,7.39,-4.71,0.37,-1.05,-2.17,-3.43
-3.58,7.88,-4.02,0.23,-0.99,-2.16,-3.43
-4.77,9.42,-4.67,0.22,-0.94,-2.33,-3.34
-4.05,7.92,-4.77,0.15,-1.13,-2.47,-3.34
-8.01,10.41,-2.34,0.00,-1.14,-2.66,-3.34
-4.06,13.46,-6.23,-0.25,-1.16,-2.77,-3.60
-6.30,15.84,-6.81,-0.39,-1.12,-3.09,-3.60
-4.02,19.61,-8.45,-0.52,-0.85,-3.26,-3.55
-3.16,18.42,-10.50,-0.88,0.05,-3.18,-3.55
-5.46,10.34,-8.53,-1.13,0.01,-2.53,-3.55
-2.65,5.23,-8.15,-1.06,0.56,-1.17,-3.55
-0.49,-0.96,0.99,-1.14,0.01,-0.11,-3.55
3.88,-6.51,-1.65,-1.11,0.22,1.58,-3.72
1.57,-5.00,-4.21,-1.03,0.98,2.21,-3.72
4.09,-0.10,-3.41,-1.13,1.84,3.31,-3.72
2.83,2.51,-2.48,-1.08,1.69,3.68,-3.68
-1.98,3.14,-2.76,-0.72,1.46,3.89,-3.68
-2.99,3.97,-2.64,-0.44,1.62,4.37,-3.53
-3.63,5.74,-2.87,-0.14,1.47,4.37,-3.53
-5.51,6.90,-2.79,0.05,1.21,4.37,-3.53
-6.72,7.55,-2.35,0.13,0.78,4.37,-3.79
-8.05,8.62,-2.96,0.09,0.65,4.37,-3.79
-8.66,10.70,-3.59,0.02,0.47,4.37,-3.79
-8.10,13.66,-3.67,-0.13,0.01,4.37,-3.79
-6.22,14.20,-2.04,-0.44,-0.43,4.35,-3.79
