timestamp,aX,aY,aZ,gX,gY,gZ,xP
1800,-3.48,9.96,-1.80,0.23,0.22,1.19,-5.63
1820,-2.21,10.05,-1.86,0.21,0.11,0.93,-5.52
1840,0.26,9.11,-1.43,0.01,0.04,0.70,-5.52
1860,0.41,9.65,-1.59,0.01,0.09,0.44,-5.51
1880,-0.62,10.02,-1.81,0.01,0.08,0.33,-5.51
1900,-0.68,9.63,-2.46,-0.04,-0.25,0.27,-5.51
1920,0.60,8.28,-2.14,-0.11,-0.42,-0.05,-5.51
1940,-0.30,8.37,-1.86,-0.10,-0.36,-0.36,-5.51
1960,-1.10,9.56,-1.93,-0.11,-0.85,-0.37,-5.43
1980,0.49,9.43,-1.60,-0.22,-1.33,-0.29,-5.43
2000,-5.41,2.90,-7.13,0.39,-1.71,-1.24,-5.43
2020,-5.43,12.06,-4.83,-0.30,-0.31,-2.41,-5.36
2040,9.36,17.39,-12.40,0.37,-0.92,-2.17,-5.36
2060,13.58,4.73,-9.67,0.32,-0.20,-1.79,-5.43
2080,-1.00,12.33,-6.92,-0.11,0.70,-2.12,-5.43
2100,-1.50,7.21,-2.28,0.05,0.49,-1.51,-5.43
2120,17.30,19.61,-9.00,-0.14,1.21,-1.77,-5.43
2140,-8.33,5.98,-0.95,0.28,0.86,-2.99,-5.43
2160,-11.00,4.54,-4.49,0.01,-0.01,-1.47,-5.28
2180,-4.98,9.14,-3.04,-0.02,-0.97,-0.84,-5.28
2200,-4.87,8.07,-3.18,0.01,-0.26,-0.46,-5.28
2220,-6.20,10.27,-2.97,0.01,0.01,-0.03,-5.35
2240,-2.73,9.25,-3.59,0.07,-0.56,0.17,-5.35
2260,-1.10,9.67,-3.78,0.05,-0.58,0.12,-5.25
2280,0.12,8.80,-3.03,0.06,-0.52,-0.03,-5.25
2300,-0.62,7.92,-4.58,0.04,-0.47,-0.17,-5.25
2320,-1.90,8.36,-4.35,-0.05,-0.32,-0.20,-5.25
2340,-0.52,8.71,-4.06,-0.08,-0.38,-0.30,-5.25
2360,0.79,8.72,-4.35,-0.14,-0.14,-0.53,-5.42
2380,-0.62,8.29,-3.38,-0.17,0.05,-0.75,-5.42
2400,-1.16,8.33,-3.50,-0.13,0.08,-0.91,-5.42
2420,-1.92,8.66,-3.25,-0.13,0.17,-1.06,-5.39
2440,-3.08,8.86,-2.77,-0.13,0.05,-1.19,-5.39
2460,-1.88,9.13,-2.93,-0.15,-0.26,-1.30,-5.45
2480,-1.96,7.82,-3.06,-0.13,-0.25,-1.49,-5.45
2500,-4.42,8.60,-2.97,-0.15,-0.37,-1.50,-5.45
2520,-4.81,7.73,-2.83,-0.17,-0.49,-1.44,-5.45
2540,-4.68,8.20,-3.14,-0.21,-0.64,-1.34,-5.45
2560,-4.08,8.64,-3.40,-0.21,-0.69,-1.48,-5.41
2580,-2.72,8.52,-3.60,-0.28,-0.82,-1.56,-5.41
2600,-7.76,6.30,-3.07,-0.33,-0.64,-1.66,-5.41
2620,-4.07,9.08,-3.13,-0.41,-0.82,-1.46,-5.40
2640,-5.13,10.24,-3.14,-0.44,-0.81,-1.71,-5.40
2660,-5.01,8.32,-2.26,-0.48,-0.82,-1.83,-5.45
2680,-7.23,8.69,-1.55,-0.52,-0.96,-1.76,-5.45
2700,-5.52,11.48,-2.09,-0.57,-1.15,-1.88,-5.45
2720,-6.93,11.03,-1.85,-0.63,-1.27,-2.05,-5.40
2740,-7.07,11.25,-1.47,-0.73,-1.48,-2.05,-5.40
2760,-5.44,12.02,-2.70,-0.91,-1.25,-2.09,-5.36
2780,-3.57,13.43,-4.38,-1.07,-1.23,-2.10,-5.36
2800,-4.41,9.92,-3.62,-1.15,-0.75,-2.14,-5.36
2820,-5.40,8.00,-3.58,-1.23,-0.49,-2.01,-5.58
2840,-6.10,6.03,-4.34,-1.40,0.23,-1.94,-5.58
2860,-11.56,2.92,-4.59,-1.71,1.35,-2.04,-5.26
2880,-14.59,0.55,-1.62,-1.84,1.08,-1.68,-5.26
2900,-10.97,1.68,-2.41,-1.63,0.74,-1.06,-5.26
2920,2.08,-1.36,0.77,-1.24,0.39,0.37,-5.28
2940,-1.14,-0.06,-2.43,-0.46,0.65,0.85,-5.28
2960,-2.45,0.01,-0.39,0.16,0.38,1.52,-5.28
2980,-3.99,2.43,-0.75,0.53,0.03,2.25,-5.28
3000,-1.75,3.45,0.63,0.78,-0.02,2.83,-5.28
3020,-2.96,3.59,1.00,1.02,0.26,3.13,-5.30
3040,-2.86,4.87,-0.06,1.15,0.48,3.46,-5.30
3060,-2.68,5.45,-0.49,1.28,0.65,3.56,-5.46
3080,-4.00,6.77,-0.65,1.35,0.57,3.68,-5.46
3100,-4.98,7.33,0.01,1.29,0.26,3.79,-5.46
3120,-5.77,7.16,0.39,1.31,0.23,3.78,-5.48
3140,-6.88,6.59,0.94,1.23,0.30,3.82,-5.48
3160,-6.90,7.87,-0.42,1.37,0.28,3.67,-5.48
3180,-5.73,9.36,-1.73,1.29,0.36,3.75,-5.48
3200,-3.50,10.93,-1.40,1.17,0.38,3.49,-5.48
3220,-3.62,11.37,-0.80,0.83,0.50,3.30,-5.37
3240,-3.86,11.59,-0.21,0.62,0.54,3.04,-5.37
3260,-5.87,11.70,-2.74,0.49,0.52,2.72,-5.45
3280,-5.25,9.55,-2.32,0.33,0.44,2.34,-5.45
3300,-3.14,10.11,-1.92,0.36,0.69,1.87,-5.45
3320,-1.29,10.44,-1.48,0.33,0.94,1.52,-5.31
3340,-0.78,10.18,-0.89,0.19,0.88,1.26,-5.31
3360,-2.68,9.94,-1.20,-0.00,0.57,0.99,-5.31
3380,-4.16,9.21,-1.53,-0.02,0.17,0.77,-5.31
3400,-4.01,9.02,-2.88,0.03,-0.31,0.51,-5.31
3420,-0.93,9.75,-2.09,-0.03,-0.62,0.36,-5.23
3440,1.15,9.65,-1.08,-0.13,-0.59,0.10,-5.23
3460,-1.37,9.27,-1.52,-0.15,-0.53,-0.34,-5.04
3480,-3.74,9.67,-1.64,-0.14,-0.79,-0.43,-5.04
3500,-2.62,5.83,-0.84,-0.18,-0.97,-0.54,-5.04
3520,-6.59,9.37,-8.13,-0.14,-0.88,-1.71,-5.33
3540,-5.44,16.24,-7.55,0.03,-0.38,-2.89,-5.33
3560,15.54,13.95,-6.37,0.24,-0.85,-0.80,-5.33
3580,6.02,5.43,-7.14,0.29,-0.38,-2.17,-5.33
3600,0.81,11.40,-3.45,-0.05,0.70,-1.76,-5.33
3620,4.96,13.16,-7.83,0.19,0.83,-1.79,-5.36
3640,3.58,19.61,-6.08,-0.06,1.43,-1.75,-5.36
3660,-4.75,15.10,0.14,-0.01,0.40,-2.21,-4.82
