timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.78,9.08,-3.87,-0.10,-0.11,-0.14,-4.25
20,-0.69,8.98,-3.77,-0.11,-0.12,-0.16,-4.25
40,-0.46,8.96,-3.94,-0.12,-0.14,-0.19,-4.25
60,-0.90,9.02,-3.82,-0.14,-0.13,-0.20,-4.20
80,-1.03,9.00,-3.67,-0.16,-0.15,-0.21,-4.20
100,-1.06,9.13,-3.68,-0.17,-0.19,-0.22,-3.88
120,-1.07,9.19,-3.79,-0.19,-0.25,-0.23,-3.88
140,-0.62,8.97,-3.80,-0.22,-0.30,-0.27,-3.88
160,-0.68,9.03,-3.81,-0.24,-0.38,-0.34,-3.77
180,-0.74,9.31,-3.59,-0.27,-0.48,-0.40,-3.77
200,0.37,8.99,-3.86,-0.31,-0.50,-0.56,-3.77
220,0.10,9.39,-4.11,-0.39,-0.50,-0.77,-3.77
240,-0.01,9.71,-3.66,-0.42,-0.69,-0.95,-3.77
260,0.09,9.82,-3.82,-0.47,-0.73,-1.17,-4.04
280,-1.10,10.69,-3.56,-0.51,-0.82,-1.34,-4.04
300,-1.67,12.35,-3.04,-0.49,-0.91,-1.43,-4.05
320,-0.32,15.10,-3.40,-0.42,-0.94,-1.55,-4.05
340,-1.10,15.77,-3.29,-0.34,-1.08,-1.74,-4.05
360,1.15,16.18,-3.84,-0.42,-1.28,-1.83,-4.11
380,0.79,14.47,-4.44,-0.53,-1.13,-1.89,-4.11
400,-2.78,12.45,-4.68,-0.56,-0.91,-1.65,-4.11
420,-4.65,11.12,-4.33,-0.63,-0.45,-1.48,-4.11
440,-4.98,10.05,-3.74,-0.70,-0.34,-1.39,-4.11
460,-4.18,8.96,-5.46,-0.39,-0.23,-1.67,-4.28
480,-7.86,9.36,-4.97,-0.36,0.06,-1.71,-4.28
500,-5.17,9.65,-2.47,-0.27,0.40,-1.11,-3.94
520,-5.39,7.57,-2.16,-0.25,0.44,-1.11,-3.94
540,-5.30,7.34,-2.55,-0.17,0.75,-0.81,-3.94
560,-4.85,5.76,-2.10,-0.09,1.14,-0.62,-4.13
580,-3.95,4.76,-2.27,0.07,1.17,-0.25,-4.13
600,-3.66,4.22,-1.88,0.15,0.95,0.09,-3.91
620,-3.07,3.53,-1.87,0.22,0.92,0.49,-3.91
640,-1.57,3.10,-1.69,0.27,1.08,0.86,-3.91
660,-1.39,2.72,-1.78,0.34,1.38,1.15,-4.02
680,-2.04,2.92,-2.24,0.38,1.53,1.48,-4.02
700,-2.40,3.67,-2.27,0.45,1.47,1.77,-3.96
720,-2.89,4.78,-2.32,0.46,1.40,2.01,-3.96
740,-3.32,5.66,-2.43,0.45,1.18,2.25,-3.96
760,-2.97,5.95,-2.14,0.41,1.00,2.37,-4.26
780,-3.24,6.15,-1.99,0.35,0.98,2.38,-4.26
800,-4.33,7.24,-2.32,0.27,0.93,2.31,-4.35
820,-5.21,8.04,-2.46,0.20,0.76,2.17,-4.35
840,-4.95,8.61,-2.63,0.12,0.60,1.94,-4.35
860,-4.22,8.59,-2.59,0.03,0.53,1.61,-4.35
880,-4.73,8.56,-2.78,-0.02,0.57,1.21,-4.35
900,-5.20,8.82,-2.92,-0.07,0.56,0.86,-4.45
920,-5.04,8.74,-3.18,-0.09,0.36,0.52,-4.45
940,-4.77,8.49,-3.00,-0.11,0.18,0.16,-4.45
960,-4.22,8.19,-3.26,-0.16,0.24,-0.16,-4.05
980,-3.54,6.92,-4.40,-0.05,0.45,-0.43,-4.05
1000,-6.49,19.61,-9.70,0.04,0.64,-1.26,-4.07
1020,-0.75,9.08,-0.18,-0.24,-0.70,-0.93,-4.07
1040,4.36,9.03,-4.24,-0.03,-0.53,-0.81,-4.07
1060,-1.72,6.92,-2.24,0.10,-0.05,-1.11,-4.07
1080,-4.55,7.78,-3.01,0.14,-0.08,-0.98,-4.07
1100,-3.64,8.99,-3.80,0.12,-0.33,-0.84,-4.41
1120,-2.36,8.71,-2.63,0.13,-0.38,-0.78,-4.41
1140,-2.02,8.95,-3.09,0.15,-0.25,-0.74,-4.41
1160,-1.52,9.37,-3.50,0.20,-0.20,-0.77,-4.06
1180,-3.27,8.63,-4.07,0.11,-0.28,-0.55,-4.06
1200,-3.94,8.61,-4.28,0.05,-0.37,-0.36,-4.04
1220,-3.04,8.31,-4.10,-0.06,-0.37,-0.23,-4.04
1240,-2.28,9.16,-4.58,-0.13,-0.23,-0.18,-4.04
1260,-1.92,8.75,-3.98,-0.18,-0.01,-0.23,-4.04
1280,-2.54,8.22,-4.21,-0.18,0.18,-0.29,-4.04
1300,-3.38,9.40,-2.92,-0.12,0.10,-0.21,-3.91
1320,-3.28,8.68,-3.18,-0.04,0.11,-0.07,-3.91
1340,-3.19,8.93,-3.07,0.00,0.06,0.02,-3.91
1360,-2.77,8.90,-3.77,0.02,0.04,0.08,-4.15
1380,-3.04,8.62,-4.01,0.02,0.04,0.13,-4.15
1400,-2.94,8.92,-3.90,0.00,0.03,0.23,-4.14
1420,-3.08,8.93,-3.49,0.02,-0.01,0.33,-4.14
1440,-2.63,8.67,-3.72,0.05,-0.03,0.40,-4.14
1460,-3.03,8.82,-3.71,0.05,-0.01,0.47,-4.14
1480,-2.47,8.89,-3.71,0.04,-0.01,0.53,-4.14
1500,-1.48,8.68,-3.90,0.03,-0.01,0.50,-4.14
1520,-2.13,8.48,-3.66,0.02,0.02,0.47,-4.14
1540,-1.90,9.11,-3.66,0.01,-0.08,0.45,-4.14
1560,-0.54,8.90,-4.05,0.01,-0.16,0.37,-3.85
1580,-1.07,8.45,-4.01,-0.01,-0.11,0.27,-3.85
1600,-1.30,8.60,-3.79,-0.03,-0.10,0.22,-3.96
1620,-1.03,9.14,-3.53,-0.00,-0.15,0.17,-3.96
1640,-0.57,9.08,-3.73,0.02,-0.20,0.08,-3.96
1660,-1.32,8.76,-3.81,-0.00,-0.13,0.01,-4.12
1680,-1.81,9.11,-3.80,-0.01,-0.10,-0.01,-4.12
1700,-1.47,8.83,-3.62,-0.00,-0.18,-0.01,-4.12
1720,-1.69,8.99,-3.67,-0.01,-0.21,-0.03,-4.12
1740,-1.31,9.49,-3.49,-0.01,-0.32,-0.05,-4.12
1760,-0.49,9.27,-3.87,-0.01,-0.35,-0.13,-4.15
1780,-1.39,8.66,-3.53,-0.02,-0.28,-0.21,-4.15
1800,-1.74,8.95,-3.68,-0.00,-0.28,-0.20,-4.03
1820,-1.43,8.93,-3.90,-0.03,-0.24,-0.23,-4.03
1840,-1.29,8.64,-3.69,-0.06,-0.19,-0.26,-4.03
1860,-1.20,8.50,-3.46,-0.07,-0.07,-0.30,-4.06
1880,-2.82,8.97,-3.17,-0.06,-0.02,-0.33,-4.06
