timestamp,aX,aY,aZ,gX,gY,gZ,xP
940,-3.95,8.97,-2.62,0.36,0.29,-0.96,-0.46
960,-3.48,8.54,-2.59,0.29,0.10,-0.72,-0.41
980,-2.59,9.76,-1.29,0.32,0.12,-0.58,-0.41
1000,-1.01,10.36,-2.37,0.36,0.14,-0.49,-0.51
1020,-2.10,9.64,-2.50,0.38,0.12,-0.49,-0.51
1040,-3.49,9.42,-2.32,0.38,0.03,-0.34,-0.51
1060,-2.86,9.41,-2.74,0.36,-0.11,-0.17,-0.48
1080,-2.43,9.58,-2.94,0.34,-0.18,-0.05,-0.48
1100,-2.62,9.65,-3.22,0.30,-0.21,0.05,-0.71
1120,-2.29,9.35,-3.27,0.27,-0.23,0.14,-0.71
1140,-2.38,9.38,-3.22,0.22,-0.28,0.24,-0.71
1160,-2.51,9.56,-2.98,0.19,-0.33,0.34,-0.71
1180,-1.65,9.53,-3.18,0.17,-0.39,0.41,-0.71
1200,-1.84,8.99,-3.22,0.16,-0.41,0.43,-0.53
1220,-1.47,9.06,-3.27,0.13,-0.45,0.46,-0.53
1240,-0.86,9.44,-3.48,0.07,-0.46,0.44,-0.53
1260,-0.35,9.10,-3.32,0.05,-0.49,0.38,-0.29
1280,-0.11,9.14,-3.21,0.04,-0.50,0.30,-0.29
1300,-0.48,9.05,-3.04,0.02,-0.50,0.20,-0.52
1320,-0.15,9.18,-3.09,0.00,-0.52,0.13,-0.52
1340,-0.34,9.11,-3.06,-0.01,-0.51,0.04,-0.52
1360,-0.62,8.94,-3.00,-0.02,-0.45,-0.01,-0.52
1380,-1.19,9.33,-2.98,-0.04,-0.43,-0.03,-0.52
1400,-0.76,9.47,-2.96,-0.06,-0.47,-0.05,-0.68
1420,-0.49,9.59,-2.82,-0.08,-0.48,-0.10,-0.68
1440,-1.02,9.70,-2.80,-0.09,-0.51,-0.15,-0.68
1460,-0.54,9.74,-2.85,-0.12,-0.54,-0.19,-0.53
1480,-1.25,9.74,-3.08,-0.14,-0.55,-0.24,-0.53
1500,-1.07,9.61,-3.24,-0.19,-0.50,-0.26,-0.52
1520,-1.34,9.87,-3.13,-0.22,-0.54,-0.27,-0.52
1540,-0.98,10.38,-2.80,-0.27,-0.55,-0.27,-0.52
1560,-0.53,11.82,-2.74,-0.33,-0.47,-0.28,-0.52
1580,-0.33,13.51,-2.74,-0.43,-0.45,-0.33,-0.52
1600,-0.37,15.28,-1.57,-0.50,-0.67,-0.38,-0.42
1620,1.30,16.02,-1.10,-0.59,-1.18,-0.38,-0.42
1640,4.47,14.76,-1.43,-0.75,-1.40,-0.50,-0.42
1660,5.68,13.85,-1.79,-0.80,-1.30,-0.76,-0.50
1680,4.54,11.72,-3.14,-0.68,-0.78,-1.00,-0.50
1700,0.73,11.57,-5.24,-0.45,0.17,-1.51,-0.65
1720,-2.22,12.43,-4.05,-0.36,0.26,-1.91,-0.65
1740,-6.84,13.09,-1.87,-0.25,-0.10,-2.22,-0.65
1760,-7.08,14.35,-2.31,-0.19,-0.99,-2.28,-0.65
1780,-7.98,13.60,-4.69,-0.12,-1.65,-2.43,-0.65
1800,-5.53,14.60,-3.71,-0.25,-2.19,-2.18,-0.70
1820,-2.79,12.25,-2.04,-0.43,-2.21,-2.06,-0.70
1840,-3.62,10.43,-1.19,-0.40,-1.81,-2.07,-0.70
1860,-3.85,8.49,-0.86,-0.22,-1.25,-1.88,-0.83
1880,-3.22,6.62,-0.66,-0.03,-0.60,-1.51,-0.83
1900,-2.11,5.76,-0.08,0.16,0.07,-1.00,-0.86
1920,-0.70,5.40,0.58,0.32,0.57,-0.59,-0.86
1940,-0.18,4.92,0.39,0.48,0.92,-0.27,-0.86
1960,-1.79,4.11,0.05,0.58,1.11,0.08,-0.71
1980,-2.32,3.62,-0.05,0.59,1.06,0.61,-0.71
2000,-1.00,3.27,-0.45,0.59,1.05,1.12,-0.67
2020,-0.64,2.90,-0.72,0.62,1.13,1.48,-0.67
2040,-0.50,2.75,-0.94,0.66,1.34,1.78,-0.67
2060,-1.28,2.96,-0.89,0.65,1.49,2.07,-0.95
2080,-1.71,3.15,-0.62,0.56,1.52,2.35,-0.95
2100,-2.97,3.28,-0.52,0.43,1.52,2.58,-0.99
2120,-3.78,3.57,-0.71,0.31,1.53,2.70,-0.99
2140,-4.94,4.49,-1.20,0.22,1.52,2.72,-0.99
2160,-6.22,5.46,-2.03,0.09,1.34,2.64,-1.21
2180,-7.07,6.72,-2.35,-0.01,1.17,2.34,-1.21
2200,-7.84,7.34,-2.06,-0.10,0.96,1.77,-1.21
2220,-8.09,6.97,-1.91,-0.16,0.76,1.27,-1.21
2240,-7.80,5.95,-1.86,-0.22,0.62,0.86,-1.21
2260,-8.41,7.58,-2.06,0.01,0.63,0.35,-0.86
2280,-16.04,19.61,-13.64,1.09,1.52,-2.00,-0.86
2300,-2.66,3.33,5.03,-1.14,-1.95,-0.71,-0.86
2320,9.78,1.06,-2.55,0.42,-0.11,-0.43,-0.86
2340,-3.85,10.84,-3.24,0.49,0.74,-1.26,-0.86
2360,-11.55,12.45,-2.22,0.03,0.27,-0.84,-0.90
2380,-3.77,8.83,-2.64,-0.10,-0.20,-0.26,-0.90
2400,-1.83,8.76,-3.24,-0.06,0.24,-0.26,-0.90
2420,-3.97,9.68,-0.97,-0.00,0.19,-0.10,-0.90
2440,-1.52,9.18,-3.00,0.04,0.29,-0.07,-0.90
2460,-3.76,9.62,-2.65,0.04,0.20,0.01,-0.98
2480,-4.05,9.28,-2.20,0.03,0.06,0.23,-0.98
